user_id,total_spent,avg_spent,transaction_count,spending_intensity,risk_segment,segment
1,16060.35,65.2859756097561,246,65.02165991902834,Low,0
2,19741.7,74.49698113207548,265,74.21691729323308,Low,3
3,15894.32,59.086691449814126,269,58.86785185185185,Low,1
4,16674.82,68.62065843621399,243,68.33942622950819,Low,0
5,16529.47,69.45155462184874,238,69.16096234309624,Low,0
6,15597.42,62.89282258064516,248,62.64024096385542,Low,0
7,23945.91,98.95004132231404,242,98.54283950617284,Low,2
8,16757.64,62.06533333333333,270,61.83630996309963,Low,1
9,16085.29,64.59955823293173,249,64.34116,Low,0
10,17136.44,60.55279151943463,283,60.339577464788725,Low,1
11,18139.77,67.18433333333334,270,66.93642066420665,Low,1
12,16324.11,65.55867469879519,249,65.29644,Low,0
13,20517.77,79.52624031007753,258,79.2191891891892,Low,3
14,20489.14,75.8857037037037,270,75.60568265682656,Low,3
15,16829.83,66.25917322834647,254,65.99933333333334,Low,0
16,19816.4,75.34752851711028,263,75.06212121212121,Low,3
17,18280.64,62.82006872852234,291,62.60493150684931,Low,1
18,17435.6,68.91541501976285,253,68.64409448818897,Low,0
19,19334.61,72.41426966292136,267,72.1440671641791,Low,1
20,21393.4,86.26370967741936,248,85.91726907630523,Low,3
21,16119.23,68.3018220338983,236,68.01362869198312,Low,0
22,23721.23,87.53221402214022,271,87.2104044117647,Low,3
23,19139.14,72.49674242424243,264,72.22316981132076,Low,1
24,16484.46,65.4145238095238,252,65.15596837944663,Low,0
25,16512.0,64.75294117647059,255,64.5,Low,0
26,17695.56,68.58744186046512,258,68.32262548262548,Low,0
27,22254.62,85.92517374517374,259,85.5946923076923,Low,3
28,30892.64,114.4171851851852,270,113.99498154981548,Low,2
29,18709.17,64.0725,292,63.85382252559727,Low,1
30,15758.89,58.58323420074349,269,58.36625925925926,Low,1
31,21522.13,76.04992932862191,283,75.78214788732394,Low,3
32,17941.42,64.0765,280,63.84846975088967,Low,1
33,30463.33,124.8497131147541,244,124.3401224489796,Low,2
34,17319.26,68.18606299212598,254,67.91866666666667,Low,0
35,15437.85,64.59351464435147,239,64.324375,Low,0
36,17111.44,66.58147859922178,257,66.32341085271317,Low,0
37,15791.56,64.19333333333333,246,63.93344129554656,Low,0
38,16412.32,62.88245210727969,261,62.6424427480916,Low,1
39,23666.44,85.43841155234658,277,85.13107913669066,Low,3
40,17079.81,68.87020161290323,248,68.59361445783134,Low,0
41,13038.85,54.328541666666666,240,54.10311203319503,Low,0
42,15626.3,60.80272373540856,257,60.567054263565886,Low,0
43,26222.04,97.8434328358209,268,97.47970260223047,Low,2
44,19291.98,70.6665934065934,273,70.40868613138686,Low,1
45,14708.48,64.79506607929515,227,64.51087719298245,Low,0
46,17750.69,62.28312280701754,285,62.065349650349646,Low,1
47,16169.48,69.99774891774892,231,69.69603448275862,Low,0
48,20891.14,77.95201492537313,268,77.66223048327137,Low,3
49,18350.93,66.73065454545454,275,66.48887681159421,Low,1
50,16949.83,68.90174796747968,246,68.62279352226722,Low,0
51,15958.63,65.9447520661157,242,65.67337448559671,Low,0
52,14090.93,59.45540084388186,237,59.20558823529412,Low,0
53,17962.57,70.71877952755905,254,70.44145098039216,Low,0
54,20047.94,72.9016,275,72.63746376811594,Low,1
